Term | TF-IDF country | TF-IDF pop | TF-IDF rap | TF-IDFrock
raining	|	1.204120	|	0.301030	|	0.000000	|	0.000000	|	
hard	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Houston	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
ran	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
searched	|	0.602060	|	0.000000	|	0.000000	|	0.000000	|	
conversation	|	0.499755	|	0.499755	|	0.000000	|	0.124939	|	
lost	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Then	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
cloud	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
tear	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
filled	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
memories	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
came	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
crashing	|	0.602060	|	0.000000	|	0.000000	|	0.000000	|	
If	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
hadn't	|	0.124939	|	0.124939	|	0.000000	|	0.124939	|	
pouring	|	0.249877	|	0.124939	|	0.499755	|	0.000000	|	
sure	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
would	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
seen	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Tears	|	0.374816	|	0.000000	|	0.124939	|	0.124939	|	
hiding	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Maybe	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
she'd	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
come	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
if	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
could	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
see	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
cry	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
She	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
thinks	|	4.214420	|	0.000000	|	0.000000	|	0.602060	|	
strong	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
